Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,exchange,ACT Symbol,Exchange,CQS Symbol,NASDAQ Symbol,act_symbol_backup,cqs_symbol_backup
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
AIRO,"AIRO Group Holdings, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
AIRS,"AirSculpt Technologies, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
AIRT,"Air T, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
AISP,"Airship AI Holdings, Inc - Class A Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
AKAM,"Akamai Technologies, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
AKAN,Akanda Corp. - Common Shares,S,N,N,100,N,N,NASDAQ,,,,,,
AKBA,"Akebia Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
AKRO,"Akero Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ALAB,"Astera Labs, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ALBT,Avalon GloboCare Corp. - Common Stock,S,N,D,100,N,N,NASDAQ,,,,,,
ALCO,"Alico, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,G,N,N,100,N,N,NASDAQ,,,,,,
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ALEC,"Alector, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,G,N,N,100,N,N,NASDAQ,,,,,,
ALGM,"Allegro MicroSystems, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ALGN,"Align Technology, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ALGS,"Aligos Therapeutics, Inc. - Common stock",S,N,N,100,N,N,NASDAQ,,,,,,
ALGT,Allegiant Travel Company - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ALHC,"Alignment Healthcare, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ALKS,Alkermes plc - Ordinary Shares,Q,N,N,100,N,N,NASDAQ,,,,,,
ALKT,"Alkami Technology, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ALLO,"Allogene Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ALLT,Allot Ltd. - Ordinary Shares,Q,N,N,100,N,N,NASDAQ,,,,,,
ALM,Almonty Industries Inc. - Common Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ALMS,Alumis Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ALNT,Allient Inc. - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ALOT,"AstroNova, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
ALRM,"Alarm.com Holdings, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ALRS,Alerus Financial Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ALT,"Altimmune, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
ALTI,"AlTi Global, Inc. - Class A Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ALTO,"Alto Ingredients, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
